Date,Hashrate,MVRV
2017-07-25,6942657.444701858,2.875172331777629
2017-07-26,6766531.635850335,2.875172331777629
2017-07-27,6590405.826998812,2.875172331777629
2017-07-28,6414280.01814729,2.6041313199290586
2017-07-29,6403589.551450377,2.6041313199290586
2017-07-30,6392899.084753465,2.6041313199290586
2017-07-31,6382208.6180565525,2.6041313199290586
2017-08-01,6371518.15135964,2.5976177524951343
2017-08-02,6670851.218873182,2.5976177524951343
2017-08-03,6970184.286386725,2.5976177524951343
2017-08-04,7269517.353900268,2.5976177524951343
2017-08-05,7568850.42141381,2.4973899916348743
2017-08-06,7259986.5004025,2.4973899916348743
2017-08-07,6951122.57939119,2.4973899916348743
2017-08-08,6642258.65837988,2.766049846603323
2017-08-09,6333394.73736857,2.766049846603323
2017-08-10,6448130.149277423,2.766049846603323
2017-08-11,6562865.5611862745,2.766049846603323
2017-08-12,6677600.973095127,2.741048907299702
2017-08-13,6792336.38500398,2.741048907299702
2017-08-14,7148016.161921417,2.741048907299702
2017-08-15,7503695.938838854,2.741048907299702
2017-08-16,7859375.715756292,3.2143408907474837
2017-08-17,8215055.49267373,3.2143408907474837
2017-08-18,7480748.856457083,3.2143408907474837
2017-08-19,6746442.220240435,3.14044412124569
2017-08-20,6012135.584023787,3.14044412124569
2017-08-21,5277828.94780714,3.14044412124569
2017-08-22,5073191.087767955,3.14044412124569
2017-08-23,4868553.227728769,3.14044412124569
2017-08-24,4663915.367689584,2.8014049109478782
2017-08-25,4459277.5076504,2.8014049109478782
2017-08-26,4989092.657074207,2.8014049109478782
2017-08-27,5518907.806498015,2.8014049109478782
2017-08-28,6048722.955921822,2.9525798649241897
2017-08-29,6578538.10534563,2.9525798649241897
2017-08-30,6744105.33954057,2.9525798649241897
2017-08-31,6909672.57373551,2.9525798649241897
2017-09-01,7075239.80793045,3.025193549892594
2017-09-02,7240807.04212539,3.025193549892594
2017-09-03,7288295.4730926175,3.025193549892594
2017-09-04,7335783.904059845,2.958218280298714
2017-09-05,7383272.335027073,2.958218280298714
2017-09-06,7430760.7659943,2.958218280298714
2017-09-07,7155547.404290807,2.822084964488297
2017-09-08,6880334.042587316,2.822084964488297
2017-09-09,6605120.680883823,2.822084964488297
2017-09-10,6329907.31918033,2.6617991047813243
2017-09-11,6742727.36173557,2.6617991047813243
2017-09-12,7155547.40429081,2.6617991047813243
2017-09-13,7568367.44684605,2.6044203695793398
2017-09-14,7981187.48940129,2.6044203695793398
2017-09-15,7727389.479970373,2.6044203695793398
2017-09-16,7473591.470539455,2.0684177556592807
2017-09-17,7219793.461108537,2.0684177556592807
2017-09-18,6965995.45167762,2.0684177556592807
2017-09-19,7130546.525339295,2.0684177556592807
2017-09-20,7295097.59900097,2.451590717050684
2017-09-21,7459648.672662646,2.451590717050684
2017-09-22,7624199.74632432,2.451590717050684
2017-09-23,7610487.156852515,2.451590717050684
2017-09-24,7596774.56738071,2.208456665805508
2017-09-25,7583061.977908905,2.208456665805508
2017-09-26,7569349.3884371,2.208456665805508
2017-09-27,7569349.3884371,2.360818232557162
2017-09-28,7569349.3884371,2.360818232557162
2017-09-29,7569349.3884371,2.360818232557162
2017-09-30,7569349.3884371,2.360818232557162
2017-10-01,7548574.863508052,2.4842676728720665
2017-10-02,7527800.338579005,2.4842676728720665
2017-10-03,7507025.813649958,2.4842676728720665
2017-10-04,7486251.28872091,2.5219914930726226
2017-10-05,8156661.851889958,2.5219914930726226
2017-10-06,8827072.415059006,2.5219914930726226
2017-10-07,9497482.978228053,2.5219914930726226
2017-10-08,10167893.5413971,2.5067798122184626
2017-10-09,9762853.826149128,2.5067798122184626
2017-10-10,9357814.110901155,2.5067798122184626
2017-10-11,8952774.395653183,2.732732074829539
2017-10-12,8547734.68040521,2.732732074829539
